School District Name,City,County,,Up to date with vaccinations - Percentage,Conditional vaccination status - Percentage,Permanent Medical Exemption - Percentage,Personal Belief Exemption - Percentage,"Without Diphtheria, Tetanus, Pertussis - Percentage",Without Polio - Percentage,"Without Measles, Mumps, Rubella - Percentage",Without Hepatitis B - Percentage,Without Varicella - Percentage,Children 5-17 in poverty - Percentage,Free/Reduced Price Meal Count K-12  - Percentage,Families with income below poverty level - Percentage,Enrolled students,Up to date with vaccinations,Conditional vaccination status,Permanent Medical Exemption,Personal Belief Exemption,"Diphtheria, Tetanus, Pertussis",Polio,"Measles, Mumps, Rubella",Hepatitis B,Varicella,Schools who reported (%),Total Schools,Coordinates,School District ID,Schools
Pajaro Valley Unified,Watsonville,Santa Cruz County,,94%,4%,0%,2%,5%,5%,5%,3%,3%,24%,71%,14%,1812,1698,73,2,39,1719,1718,1717,1759,1758,100%,19,"36.935076,-121.790231",629490,"Radcliff Elementary,Landmark Elementary,Amesti Elementary,Bradley Elementary,Calabasas Elementary,Freedom Elementary,H. A. Hyde Elementary,Hall District Elementary,Linscott Charter,Mar Vista Elementary,Mintie White Elementary,Rio Del Mar Elementary,T. S. Macquiddy Elementary,Valencia Elementary,Alianza Charter,Ohlone Elementary,Starlight Elementary,Ann Soldo Elementary,Watsonville Charter School Of The Arts"
Madera Unified,Madera,Madera County,,96%,3%,0%,1%,3%,3%,3%,2%,1%,36%,79%,21%,1896,1824,58,0,14,1842,1842,1846,1866,1869,95%,19,"36.941917,-120.123863",623340,"Sherman Thomas Charter,Ezequiel Tafoya Alvarado Academy,Nishimoto Elementary,Cesar Chavez Elementary,John J. Pershing Elementary,Parkwood Elementary,Furman (Duane E.) High (Independent Study Program),Dixieland Elementary,George Washington Elementary,Howard Elementary,James Madison Elementary,James Monroe Elementary,John Adams Elementary,La Vina Elementary,Millview Elementary,Sierra Vista Elementary,Berenda Elementary,Alpha Elementary,Lincoln Elementary"
Santa Cruz City Elementary,Santa Cruz,Santa Cruz County,,81%,7%,0%,12%,16%,16%,16%,15%,14%,11%,37%,6%,407,330,29,1,47,342,342,340,346,351,100%,5,"36.949653,-122.06181",635590,"Bay View Elementary,De Laveaga Elementary,Gault Elementary,Westlake Elementary,Santa Cruz City Elementary Alternative Education-Monarch"
Madera County Office of Education,Madera,Madera County,,,,,,,,,,,,88%,,,,,,,,,,,,0%,1,"36.952904,-120.037085",691017,Madera County Independent Academy
Live Oak Elementary,Santa Cruz,Santa Cruz County,,84%,9%,0%,7%,13%,11%,12%,10%,12%,22%,57%,9%,246,206,21,1,18,215,218,217,222,216,100%,4,"36.955201,-121.974894",621990,"Tierra Pacifica Charter,Green Acres Elementary,Live Oak Elementary,Del Mar Elementary"
Sierra Unified,Prather,Fresno County,,79%,3%,0%,18%,21%,21%,20%,18%,18%,15%,43%,4%,71,56,2,0,13,56,56,57,58,58,100%,1,"36.957373,-119.007414",636805,Foothill Elementary
Fresno County Office of Education,Fresno,Fresno County,,91%,9%,0%,0%,6%,5%,2%,2%,0%,,86%,,122,111,11,0,0,115,116,120,119,122,100%,3,"36.985898,-119.232078",691007,"New Spirit Charter Academy,Fresno County Special Education Local Plan,Edison-Bethune Charter Academy"
Soquel Union Elementary,Capitola,Santa Cruz County,,76%,13%,0%,11%,21%,20%,22%,15%,13%,10%,29%,6%,243,184,32,0,27,193,194,190,206,212,100%,4,"37.001389,-121.952059",637290,"Opal Cliffs,Santa Cruz Gardens Elementary,Soquel Elementary,Main Street Elementary"
Los Banos Unified,Los Banos,Merced County,,97%,1%,0%,1%,3%,2%,2%,2%,2%,31%,72%,21%,759,738,10,2,9,740,745,744,744,745,90%,10,"37.013608,-120.946587",622740,"Lorena Falasco Elementary,Crossroads Alternative Education Center,Green Valley Charter,Mercey Springs Elementary,Charleston Elementary,Henry Miller Elementary,Los Banos Elementary,R. M. Miano Elementary,Volta Elementary,Westside Union Elementary"
Alview-Dairyland Union Elementary,Chowchilla,Madera County,,97%,3%,0%,0%,3%,3%,3%,0%,0%,39%,61%,22%,35,34,1,0,0,34,34,34,35,35,100%,1,"37.028698,-120.387517",602360,Alview Elementary
Gilroy Unified,Gilroy,Santa Clara County,,97%,2%,1%,1%,2%,2%,2%,2%,2%,16%,50%,9%,991,962,15,9,5,969,972,968,974,973,100%,9,"37.040598,-121.48898",615180,"Gilroy Prep,Luigi Aprea Elementary,El Roble Elementary,Eliot Elementary,Glen View Elementary,Las Animas Elementary,Rucker Elementary,Rod Kelley Elementary,Antonio Del Buono Elementary"
Happy Valley Elementary,Santa Cruz,Santa Cruz County,,47%,21%,0%,32%,37%,42%,47%,37%,32%,8%,8%,1%,19,9,4,0,6,12,11,10,12,13,100%,1,"37.046154,-121.981377",616560,Happy Valley Elementary
