School District Name,City,County,,Up to date with vaccinations - Percentage,Conditional vaccination status - Percentage,Permanent Medical Exemption - Percentage,Personal Belief Exemption - Percentage,"Without Diphtheria, Tetanus, Pertussis - Percentage",Without Polio - Percentage,"Without Measles, Mumps, Rubella - Percentage",Without Hepatitis B - Percentage,Without Varicella - Percentage,Children 5-17 in poverty - Percentage,Free/Reduced Price Meal Count K-12  - Percentage,Families with income below poverty level - Percentage,Enrolled students,Up to date with vaccinations,Conditional vaccination status,Permanent Medical Exemption,Personal Belief Exemption,"Diphtheria, Tetanus, Pertussis",Polio,"Measles, Mumps, Rubella",Hepatitis B,Varicella,Schools who reported (%),Total Schools,Coordinates,School District ID,Schools
Pleasant Valley,Camarillo,Ventura County,,90%,5%,0%,5%,9%,9%,7%,5%,5%,10%,23%,4%,816,738,39,0,39,742,745,756,775,777,100%,10,"34.21356,-119.006011",630990,"Rancho Rosal Elementary,Camarillo Heights Elementary,Dos Caminos Elementary,El Descanso Elementary,Las Posas Elementary,Santa Rosa Technology Magnet,Los Primeros School Of Sciences & Arts,Tierra Linda Elementary,La Mariposa,University Preparation School At Csu Channel Islands"
Ventura County Office of Education,Ventura,Ventura County,,67%,12%,1%,21%,30%,27%,28%,24%,24%,,22%,,190,127,22,1,40,133,139,137,144,145,100%,4,"34.214483,-118.999407",691047,"Ventura Charter School Of Arts And Global Education,Bridges Charter,Meadows Arts And Technology Elementary,Ventura County Special Education"
Rio Elementary,Oxnard,Ventura County,,86%,12%,1%,1%,12%,9%,11%,4%,5%,20%,66%,12%,626,536,76,7,7,553,567,557,600,597,100%,6,"34.223351,-119.140476",632760,"Rio Del Mar,Rio Lindo Elementary,Rio Plaza Elementary,Rio Real Elementary,Rio Rosales,Rio Del Norte"
Rialto Unified,Rialto,San Bernardino County,,96%,3%,0%,1%,3%,3%,3%,2%,2%,28%,77%,18%,1910,1840,49,3,18,1858,1854,1857,1871,1871,100%,19,"34.23969,-117.500681",632370,"Charlotte N. Werner Elementary,Nancy R. Kordyak Elementary,Bemis Elementary,Boyd Elementary,Casey Elementary,Dunn Elementary,Henry Elementary,Kelley Elementary,Morgan Elementary,Myers Elementary,Preston Elementary,Trapp Elementary,Helen L. Dollahan Elementary,Samuel W. Simpson Elementary,Elizabeth T. Hughbanks Elementary,Georgia Morris Elementary,Edward Fitzgerald Elementary,Ernest Garcia Elementary,Sam V. Curtis Elementary"
Rim of the World Unified,Lake Arrowhead,San Bernardino County,,90%,4%,0%,6%,9%,8%,8%,8%,6%,18%,53%,9%,264,237,11,1,15,240,244,242,244,247,100%,4,"34.240396,-117.141951",632610,"Lake Arrowhead Elementary,Charles Hoffman Elementary,Valley Of Enchantment Elementary,Grandview Elementary"
Mt. Baldy Joint Elementary,Mt. Baldy,San Bernardino County,,67%,0%,0%,33%,33%,33%,33%,33%,33%,45%,10%,0%,18,12,0,0,6,12,12,12,12,12,100%,1,"34.25651,-117.606706",626340,Mt. Baldy Joint Elementary
Mesa Union Elementary,Ventura,Ventura County,,53%,14%,0%,33%,45%,42%,42%,34%,34%,15%,21%,6%,125,66,18,0,41,69,72,72,82,82,100%,2,"34.276591,-119.08335",624720,"Golden Valley Charter,Mesa Elementary"
Azusa Unified,Covina,Los Angeles County,,93%,6%,0%,1%,5%,5%,5%,3%,3%,26%,76%,13%,871,810,55,1,5,828,826,825,847,845,100%,11,"34.280333,-117.866141",603600,"Alice M. Ellington Elementary,Charles H. Lee Elementary,Clifford D. Murray Elementary,Gladstone Street Elementary,Henry Dalton Elementary,Magnolia Elementary,Mountain View Elementary,Paramount Elementary,Valleydale Elementary,Victor F. Hodge Elementary,W. R. Powell Elementary"
Simi Valley Unified,Simi Valley,Ventura County,,87%,10%,0%,3%,11%,10%,8%,6%,5%,9%,26%,5%,1268,1109,125,2,32,1134,1147,1163,1190,1199,100%,21,"34.28788,-118.732027",636840,"Arroyo Elementary,Berylwood Elementary,Big Springs Elementary,Crestview Elementary,Garden Grove Elementary,Hollow Hills Elementary,Katherine Elementary,Knolls Elementary,Lincoln Elementary,Madera Elementary,Mountain View Elementary,Park View Elementary,Santa Susana Elementary,Simi Elementary,Sycamore Elementary,Township Elementary,Vista Elementary,Justin Elementary,White Oak Elementary,Atherwood Elementary,Wood Ranch Elementary"
Ventura Unified,Oak View,Ventura County,,82%,13%,0%,5%,15%,15%,15%,7%,7%,15%,40%,8%,1341,1099,175,1,66,1145,1138,1134,1248,1242,100%,17,"34.295669,-119.325866",640980,"Sunset Elementary,Blanche Reynolds Elementary,E. P. Foster Elementary,Elmhurst Elementary,Juanamaria Elementary,Junipero Serra Elementary,Lincoln Elementary,Loma Vista Elementary,Montalvo Elementary,Mound Elementary,Pierpont Elementary,Poinsettia Elementary,Saticoy Elementary,Sheridan Way Elementary,Will Rogers Elementary,Portola Elementary,Citrus Glen Elementary"
Somis Union,Somis,Ventura County,,74%,23%,0%,3%,13%,13%,13%,13%,10%,31%,56%,9%,31,23,7,0,1,27,27,27,27,28,100%,1,"34.295675,-118.972528",637140,Somis Elementary
Moorpark Unified,Moorpark,Ventura County,,94%,1%,0%,5%,6%,5%,5%,6%,5%,10%,32%,4%,540,508,4,0,28,510,511,511,509,512,100%,6,"34.31094,-118.876067",625690,"Flory Academy Of Sciences And Technology,Peach Hill Academy,Campus Canyon Elementary,Mountain Meadows Elementary,Arroyo West Elementary,Walnut Canyon Elementary"
La Canada Unified,La Canada,Los Angeles County,,94%,1%,0%,5%,5%,5%,5%,6%,5%,6%,1%,2%,259,243,3,1,12,246,245,245,244,246,100%,3,"34.346517,-118.079416",620130,"La Canada Elementary,Palm Crest Elementary,Paradise Canyon Elementary"
Briggs Elementary,Santa Paula,Ventura County,,94%,0%,0%,6%,6%,6%,6%,6%,6%,28%,56%,16%,53,50,0,0,3,50,50,50,50,50,100%,1,"34.358741,-119.133143",606030,Olivelands Elementary
Hesperia Unified,Hesperia,San Bernardino County,,95%,2%,0%,2%,4%,3%,3%,3%,3%,28%,64%,18%,1739,1657,40,7,35,1664,1681,1681,1682,1688,100%,17,"34.361627,-117.33698",600014,"Cypress School Of The Arts,Pathways To College,Mission Crest Elementary,Laverne Elementary Preparatory Academy,Krystal School Of Science, Math & Technology,Joshua Circle Elementary,Juniper Elementary,Eucalyptus Elementary,Mesa Grande Elementary,Kingston Elementary,Maple Elementary,Cottonwood Elementary,Lime Street Elementary,Hollyvale Elementary,Carmel Elementary,Topaz Preparatory Academy,Mesquite Trails Elementary"
Santa Paula Unified,Santa Paula,Ventura County,,95%,5%,0%,0%,5%,4%,4%,1%,1%,,75%,,432,410,21,0,1,411,413,413,427,427,100%,6,"34.366353,-119.072927",601421,"Barbara Webster Elementary,Blanchard Elementary,Glen City Elementary,Grace S. Thille Elementary,Mckevett Elementary,Thelma B. Bedell Elementary"
Newhall,Stevenson Ranch,Los Angeles County,,94%,4%,0%,2%,5%,5%,4%,3%,2%,16%,34%,8%,922,866,37,0,19,876,879,885,897,901,100%,10,"34.369125,-118.580012",627180,"Pico Canyon Elementary,Dr. J. Michael Mcgrath Elementary,Oak Hills Elementary,Newhall Elementary,Peachland Avenue Elementary,Wiley Canyon Elementary,Old Orchard Elementary,Meadows Elementary,Valencia Valley Elementary,Stevenson Ranch Elementary"
Snowline Joint Unified,Victorville,San Bernardino County,,83%,12%,0%,5%,15%,14%,16%,10%,9%,16%,52%,9%,478,396,59,0,23,408,410,403,429,435,100%,6,"34.402869,-117.58472",636970,"Vista Verde Elementary,Phelan Elementary,Wrightwood Elementary,Baldy Mesa Elementary,Pinon Hills Elementary,Heritage"
Santa Barbara Unified,Santa Barbara,Santa Barbara County,,84%,8%,0%,7%,14%,13%,15%,13%,13%,15%,53%,,824,695,67,2,60,710,715,704,717,721,100%,12,"34.405955,-119.704904",601414,"Adams Elementary,Cleveland Elementary,Franklin Elementary,Harding University Partnership,Mckinley Elementary,Monroe Elementary,Peabody Charter,Roosevelt Elementary,Washington Elementary,Santa Barbara Charter,Santa Barbara Community Academy,Adelante Charter"
Carpinteria Unified,Carpinteria,Santa Barbara County,,84%,0%,1%,16%,16%,16%,16%,16%,16%,15%,56%,5%,199,167,0,1,31,167,167,167,167,167,100%,4,"34.410658,-119.527788",607560,"Carpinteria Family,Aliso Elementary,Canalino Elementary,Summerland Elementary"
Montecito Union Elementary,Santa Barbara,Santa Barbara County,,71%,2%,0%,27%,29%,29%,29%,29%,29%,12%,3%,6%,51,36,1,0,14,36,36,36,36,36,100%,1,"34.416833,-119.640325",625500,Montecito Union
Hope Elementary,Santa Barbara,Santa Barbara County,,81%,12%,1%,6%,14%,13%,18%,11%,8%,10%,27%,3%,180,146,22,1,11,155,157,148,160,165,100%,4,"34.41983,-119.766434",617490,"Hope Elementary,Monte Vista Elementary,Vieja Valley Elementary,Hope Elementary"
Lucerne Valley Unified,Placerville,San Bernardino County,,45%,4%,0%,51%,53%,53%,53%,51%,51%,22%,30%,10%,249,113,10,0,126,116,117,117,123,122,100%,2,"34.420236,-116.776979",600015,"Sky Mountain Charter,Lucerne Valley Elementary"
Sulphur Springs Union,Santa Clarita,Los Angeles County,,78%,14%,0%,9%,20%,19%,19%,12%,12%,17%,38%,7%,822,639,112,1,70,658,668,662,720,726,100%,9,"34.425184,-118.390772",638220,"Golden Oak Community,Canyon Springs Community Elementary,Leona H. Cox Community Elementary,Mint Canyon Community Elementary,Sulphur Springs Community Elementary,Mitchell Community Elementary,Valley View Elementary,Pinetree Community Elementary,Fair Oaks Ranch Community"
Cold Spring Elementary,Santa Barbara,Santa Barbara County,,69%,19%,0%,13%,13%,13%,25%,31%,25%,10%,0%,7%,16,11,3,0,2,14,14,12,11,12,100%,1,"34.447443,-119.65556",609270,Cold Spring Elementary
Acton-Agua Dulce Unified,Agua Dulce,Los Angeles County,,76%,11%,0%,13%,20%,23%,18%,14%,13%,14%,32%,4%,79,60,9,0,10,63,61,65,68,69,100%,2,"34.450906,-118.227614",600001,"Agua Dulce Elementary,Meadowlark Elementary"
Santa Barbara County Office of Education,Santa Barbara,Santa Barbara County,,75%,5%,0%,20%,20%,20%,20%,25%,20%,,39%,,20,15,1,0,4,16,16,16,15,16,100%,1,"34.451791,-119.769659",691034,Santa Barbara County Special Education
Goleta Union Elementary,Santa Barbara,Santa Barbara County,,91%,1%,0%,8%,9%,9%,9%,9%,9%,11%,32%,4%,559,507,4,2,46,510,511,510,509,511,100%,9,"34.453416,-119.886045",615510,"El Camino Elementary,Ellwood Elementary,Foothill Elementary,Hollister Elementary,Isla Vista Elementary,Kellogg Elementary,La Patera Elementary,Mountain View Elementary,Brandon Elementary"
Apple Valley Unified,Apple Valley,San Bernardino County,,90%,5%,0%,5%,8%,8%,8%,7%,6%,26%,57%,16%,1137,1028,55,1,53,1042,1049,1042,1062,1074,100%,11,"34.474961,-117.139981",600017,"Vanguard Preparatory,Sitting Bull Academy,Phoenix Academy,Academy For Academic Excellence,Mariana Academy,Rancho Verde Elementary,Yucca Loma Elementary,Desert Knolls Elementary,Sandia Elementary,Rio Vista Elementary,Sycamore Rocks Elementary"
Vista del Mar Union,Gaviota,Santa Barbara County,,93%,0%,0%,7%,7%,7%,7%,7%,7%,22%,26%,5%,15,14,0,0,1,14,14,14,14,14,100%,1,"34.479619,-120.22583",641220,Vista De Las Cruces
William S. Hart Union High,Castaic,Los Angeles County,,51%,37%,0%,12%,44%,44%,44%,43%,40%,10%,11%,6%,75,38,28,0,9,42,42,42,43,45,100%,1,34.4865-118.552041,642510,Santa Clarita Valley International
Needles Unified,Needles,San Bernardino County,,61%,29%,0%,10%,29%,20%,30%,33%,26%,33%,69%,18%,69,42,20,0,7,49,55,48,46,51,100%,1,"34.491091,-115.109654",626760,Vista Colorado Elementary
Ojai Unified,Ojai,Ventura County,,79%,17%,1%,4%,14%,13%,14%,9%,10%,14%,44%,7%,192,151,33,1,7,166,168,165,175,173,80%,5,"34.493746,-119.203882",628270,"Meiners Oaks Elementary,Mira Monte Elementary,San Antonio Elementary,Summit Elementary,Topa Topa Elementary"
Keppel Union Elementary,Littlerock,Los Angeles County,,85%,14%,0%,2%,12%,12%,13%,4%,5%,27%,79%,12%,265,225,36,0,4,232,234,231,254,253,100%,5,"34.494489,-117.861978",619440,"Alpine Elementary,Antelope Elementary,Lake Los Angeles Elementary,Daisy Gibson Elementary,Pearblossom Elementary"
Mupu Elementary,Santa Paula,Ventura County,,79%,7%,0%,14%,21%,21%,21%,21%,14%,12%,43%,5%,14,11,1,0,2,11,11,11,11,12,100%,1,"34.509069,-119.04769",626460,Mupu Elementary
Saugus Union,Valencia,Los Angeles County,,89%,6%,1%,4%,10%,10%,9%,6%,6%,7%,17%,3%,1120,995,67,13,45,1008,1010,1021,1051,1056,87%,15,"34.513282,-118.478265",635970,"Tesoro Del Valle Elementary,West Creek Academy,Cedarcreek Elementary,Emblem Academy,Rio Vista Elementary,Rosedell Elementary,Santa Clarita Elementary,Skyblue Mesa Elementary,Highlands Elementary,Charles Helmers Elementary,James Foster Elementary,Mountainview Elementary,Plum Canyon Elementary,North Park Elementary,Bridgeport Elementary"
Victor Elementary,Victorville,San Bernardino County,,86%,10%,0%,4%,11%,10%,12%,9%,8%,35%,72%,22%,1788,1544,171,0,73,1584,1602,1572,1622,1643,100%,18,"34.516133,-117.316425",641040,"Challenger School Of Sports And Fitness,Galileo Academy 101,Endeavour School Of Exploration,West Palms Conservatory,Del Rey Elementary,Irwin Elementary,Park View Elementary,Village Elementary,Sixth Street Prep,Liberty Elementary,Mojave Vista Elementary,Lomitas Elementary,Puesta Del Sol Elementary,Green Tree East Elementary,Brentwood Elementary,Discovery School Of The Arts,Mountain View Montessori Charter,Academy Of Performing Arts And Foreign Language"
Castaic Union,Castaic,Los Angeles County,,99%,1%,0%,0%,1%,1%,1%,1%,1%,15%,24%,6%,272,268,3,0,1,268,268,270,270,270,100%,3,"34.531278,-118.647307",607740,"Northlake Hills Elementary,Castaic Elementary,Live Oak Elementary"
Fillmore Unified,Fillmore,Ventura County,,96%,4%,0%,0%,3%,2%,3%,1%,1%,23%,72%,11%,255,244,10,0,1,248,249,247,252,253,100%,3,"34.533359,-118.909631",613800,"Mountain Vista,Piru Elementary,San Cayetano Elementary"
Solvang Elementary,Solvang,Santa Barbara County,,89%,0%,0%,11%,11%,11%,11%,11%,11%,11%,39%,1%,93,83,0,0,10,83,83,83,83,83,100%,1,"34.572728,-120.063201",637110,Solvang Elementary
Palmdale Elementary,Palmdale,Los Angeles County,,96%,2%,0%,2%,4%,3%,3%,3%,2%,30%,74%,19%,2387,2286,58,5,38,2297,2304,2311,2319,2331,100%,20,"34.578932,-118.083161",629580,"Antelope Valley Learning Academy,Dos Caminos,Ocotillo Elementary,Manzanita Elementary,Tumbleweed Elementary,Yucca Elementary,Desert Rose Elementary,Joshua Hills Elementary,Chaparral Elementary,Palm Tree Elementary,Buena Vista Elementary,Mesquite Elementary,Summerwind Elementary,Barrel Springs Elementary,Palmdale Learning Plaza,Cimarron Elementary,Quail Valley Elementary,Golden Poppy Elementary,Los Amigos,Guidance Charter"
Buellton Union Elementary,Buellton,Santa Barbara County,,87%,1%,0%,12%,12%,12%,12%,13%,12%,7%,29%,4%,86,75,1,0,10,76,76,76,75,76,100%,1,"34.588751,-120.198786",606330,Oak Valley Elementary
Wilsona Elementary,Palmdale,Los Angeles County,,99%,0%,0%,1%,1%,1%,1%,1%,1%,37%,89%,24%,157,156,0,0,1,156,156,156,156,156,100%,1,"34.627143,-117.764183",642810,Vista San Gabriel Elementary
Ballard Elementary,Solvang,Santa Barbara County,,100%,0%,0%,0%,0%,0%,0%,0%,0%,13%,1%,3%,15,15,0,0,0,15,15,15,15,15,100%,1,"34.62983,-120.123281",603720,Ballard Elementary
Adelanto Elementary,Adelanto,San Bernardino County,,90%,8%,0%,1%,7%,6%,8%,5%,4%,34%,78%,23%,1006,910,79,3,14,935,942,929,951,970,100%,11,"34.630638,-117.520563",601710,"George Visual And Performing Arts Magnet And Middle,Theodore Vick Elementary,Victoria Magathan Elementary,West Creek Elementary,El Mirage,Adelanto Elementary,Westside Park Elementary,Eagle Ranch,Desert Trails Elementary,Donald F. Bradach Elementary,Morgan/Kincaid Preparatory School Of Integrated Studies"
Oro Grande Elementary,Victorville,San Bernardino County,,89%,9%,0%,2%,10%,9%,11%,3%,4%,19%,55%,21%,186,166,17,0,3,168,170,166,180,179,67%,3,"34.659913,-117.290005",628950,"Mojave River Academy,Riverside Preparatory,Oro Grande Elementary"
Hughes-Elizabeth Lakes Union Elementary,Lake Hughes,Los Angeles County,,64%,8%,0%,28%,36%,36%,36%,36%,36%,19%,41%,5%,25,16,2,0,7,16,16,16,16,16,100%,1,"34.664086,-118.497151",617880,Hughes-Elizabeth Lakes
College Elementary,Santa Ynez,Santa Barbara County,,88%,2%,0%,9%,9%,9%,9%,12%,9%,10%,9%,2%,43,38,1,0,4,39,39,39,38,39,100%,2,"34.673317,-119.743616",609330,"College Elementary,Santa Ynez Valley Charter"
Gorman Elementary,Redlands,Los Angeles County,,53%,21%,0%,26%,45%,44%,29%,36%,47%,5%,24%,0%,140,74,29,0,37,77,79,99,89,74,100%,1,"34.710648,-118.756386",615600,Gorman Learning Center
Westside Union Elementary,Palmdale,Los Angeles County,,92%,2%,0%,6%,7%,7%,7%,7%,6%,12%,36%,6%,944,873,17,2,52,877,881,881,880,886,100%,10,"34.718813,-118.368366",642120,"Esperanza Elementary,Anaverde Hills,Gregg Anderson Academy,Del Sur Senior Elementary,Leona Valley Elementary,Quartz Hill Elementary,Valley View Elementary,Rancho Vista Elementary,Cottonwood Elementary,Sundown Elementary"
Eastside Union Elementary,Lancaster,Los Angeles County,,98%,1%,0%,2%,2%,2%,2%,2%,2%,26%,83%,18%,378,370,2,0,6,370,372,372,372,372,100%,3,"34.740641,-117.899528",611910,"Eastside Elementary,Columbia Elementary,Tierra Bonita Elementary"
Lancaster Elementary,Lancaster,Los Angeles County,,96%,3%,0%,2%,4%,3%,3%,3%,2%,27%,75%,20%,1883,1802,48,1,32,1812,1827,1831,1834,1848,94%,17,"34.74077,-118.121947",620880,"John And Jacquelyn Miller Elementary,Life Source International Charter,Discovery,Ilead Lancaster Charter,Desert View Elementary,El Dorado Elementary,Joshua Elementary,Linda Verde Elementary,Mariposa Elementary,Monte Vista Elementary,Sierra Elementary,Sunnydale Elementary,Nancy Cory Elementary,Lincoln Elementary,Jack Northrop Elementary,West Wind Elementary,Crossroads Community Day"
Helendale Elementary,Helendale,San Bernardino County,,66%,14%,0%,20%,27%,27%,26%,22%,22%,14%,22%,10%,146,97,20,0,29,106,106,108,114,114,100%,2,"34.760677,-117.350103",616860,"Empire Springs Charter,Helendale Elementary"
Los Olivos Elementary,Los Olivos,Santa Barbara County,,89%,0%,0%,11%,11%,11%,11%,11%,11%,7%,7%,7%,19,17,0,0,2,17,17,17,17,17,100%,1,"34.78984,-119.887326",622920,Los Olivos Elementary
Orcutt Union Elementary,Orcutt,Santa Barbara County,,95%,3%,0%,2%,4%,4%,4%,4%,3%,9%,30%,4%,529,502,15,0,12,506,507,509,508,515,100%,7,"34.821785,-120.458974",628710,"Orcutt Academy Charter,Olga L. Reed Elementary,Alice Shaw Elementary,Ralph Dunlap Elementary,Joe Nightingale Elementary,Patterson Road Elementary,Pine Grove Elementary"
Cuyama Joint Unified,New Cuyama,Santa Barbara County,,96%,0%,0%,4%,4%,4%,4%,4%,4%,27%,65%,17%,23,22,0,0,1,22,22,22,22,22,100%,1,"34.833565,-119.61942",600009,Cuyama Elementary
El Tejon Unified,Frazier Park,Kern County,,72%,17%,0%,11%,24%,22%,24%,15%,15%,22%,69%,4%,46,33,8,0,5,35,36,35,39,39,100%,1,"34.843282,-118.989745",600026,Frazier Park Elementary
Southern Kern Unified,Rosamond,Kern County,,92%,5%,1%,1%,6%,6%,6%,3%,3%,33%,76%,17%,278,257,15,2,4,260,262,262,270,271,100%,2,"34.889154,-118.337469",637620,"Westpark Elementary,Rosamond Elementary"
Blochman Union Elementary,Santa Maria,Santa Barbara County,,66%,7%,0%,27%,30%,31%,31%,30%,30%,11%,31%,5%,101,67,7,0,27,71,70,70,71,71,100%,3,"34.912985,-120.168895",605280,"Family Partnership Home Study Charter,Trivium Charter,Benjamin Foxen Elementary"
Guadalupe Union Elementary,Guadalupe,Santa Barbara County,,98%,0%,0%,2%,2%,2%,2%,2%,2%,24%,64%,17%,173,170,0,0,3,170,170,170,170,170,100%,1,"34.940269,-120.62007",616260,Mary Buren Elementary
Santa Maria-Bonita,Santa Maria,Santa Barbara County,,99%,1%,0%,0%,1%,1%,1%,1%,0%,30%,76%,17%,2078,2054,15,1,8,2059,2064,2062,2066,2069,100%,15,"34.943878,-120.447733",605580,"Sanchez (David J.) Elementary,Liberty Elementary,Bonita Elementary,Adam (William Laird) Elementary,Alvin Elementary,Arellanes (Don Juan Bautista) Elementary,Fairlawn Elementary,Tunnell (Martin Luther) Elementary,Miller (Isaac) Elementary,Oakley (Calvin C.) Elementary,Rice (William) Elementary,Bruce (Robert) Elementary,Battles (Washington) Elementary,Ontiveros (Juan Pacifico) Elementary,Taylor (Ida Redmond) Elementary"
Muroc Joint Unified,Edwards,Kern County,,97%,0%,0%,3%,3%,3%,3%,3%,3%,30%,22%,15%,185,179,0,0,6,179,179,179,179,179,100%,2,"34.947915,-117.703303",626490,"Irving L. Branch Elementary,West Boron Elementary"
Maricopa Unified,Simi Valley,Kern County,,68%,1%,0%,32%,32%,32%,32%,32%,32%,36%,50%,21%,197,133,1,0,63,133,133,133,134,134,100%,3,"34.990618,-119.264246",623820,"California Virtual Academy @ Maricopa,Peak To Peak Mountain Charter,Maricopa Elementary"
Arvin Union,Arvin,Kern County,,98%,1%,0%,0%,1%,1%,1%,0%,1%,45%,76%,35%,411,404,6,1,0,406,406,406,409,408,100%,3,"34.999572,-118.768238",603270,"El Camino Real Elementary,Sierra Vista Elementary,Bear Mountain Elementary"
Barstow Unified,Barstow,San Bernardino County,,91%,5%,1%,3%,8%,8%,7%,6%,6%,31%,73%,19%,566,513,31,3,19,520,518,527,531,534,100%,6,"35.057882,-117.188039",604020,"Cameron Elementary,Crestline Elementary,Henderson Elementary,Lenwood Elementary,Montara Elementary,Skyline North Elementary"
Silver Valley Unified,Fort Irwin,San Bernardino County,,96%,3%,1%,1%,4%,3%,4%,2%,2%,23%,43%,16%,295,282,8,2,3,284,286,283,288,290,100%,3,"35.092636,-116.617264",636820,"Congressman Jerry Lewis Elementary,Newberry Springs Elementary,Yermo Elementary"
